Survived,Pclass,Sex,Age,Parch,Fare,Embarked,NameLength,HasCabin,FamilySize,IsAlone,CategoricalFare,CategoricalAge,Title
0,3,1,22,0,7.25,S,23,0,2,0,0,1,3
1,1,0,38,0,71.2833,C,51,1,2,0,3,3,2
1,3,0,26,0,7.925,S,22,0,1,1,1,2,4
1,1,0,35,0,53.1,S,44,1,2,0,3,3,2
0,3,1,35,0,8.05,S,24,0,1,1,1,3,3
0,3,1,19,0,8.4583,Q,16,0,1,1,1,0,3
0,1,1,54,0,51.8625,S,23,1,1,1,3,4,3
0,3,1,2,1,21.075,S,30,0,5,0,2,0,4
1,3,0,27,2,11.1333,S,49,0,3,0,1,2,2
1,2,0,14,0,30.0708,C,35,0,2,0,2,0,2
1,3,0,4,1,16.7,S,31,1,3,0,2,0,4
1,1,0,58,0,26.55,S,24,1,1,1,2,4,4
0,3,1,20,0,8.05,S,30,0,1,1,1,1,3
0,3,1,39,5,31.275,S,27,0,7,0,3,3,3
0,3,0,14,0,7.8542,S,36,0,1,1,0,0,4
1,2,0,55,0,16.0,S,32,0,1,1,2,4,2
0,3,1,2,1,29.125,Q,20,0,6,0,2,0,4
1,2,1,25,0,13.0,S,28,0,1,1,1,1,3
0,3,0,31,0,18.0,S,55,0,2,0,2,2,2
1,3,0,34,0,7.225,C,23,0,1,1,0,3,2
0,2,1,35,0,26.0,S,20,0,1,1,2,3,3
1,2,1,34,0,13.0,S,21,1,1,1,1,3,3
1,3,0,15,0,8.0292,Q,27,0,1,1,1,0,4
1,1,1,28,0,35.5,S,28,1,1,1,3,2,3
0,3,0,8,1,21.075,S,29,0,5,0,2,0,4
1,3,0,38,5,31.3875,S,57,0,7,0,3,3,2
0,3,1,28,0,7.225,C,23,0,1,1,0,2,3
0,1,1,19,2,263.0,S,30,1,6,0,3,0,3
1,3,0,42,0,7.8792,Q,29,0,1,1,0,4,4
0,3,1,20,0,7.8958,S,19,0,1,1,0,1,3
0,1,1,40,0,27.7208,C,24,0,1,1,2,3,4
1,1,0,32,0,146.5208,C,46,1,2,0,3,3,2
1,3,0,15,0,7.75,Q,24,0,1,1,0,0,4
0,2,1,66,0,10.5,S,21,0,1,1,1,4,3
0,1,1,28,0,82.1708,C,23,0,2,0,3,2,3
0,1,1,42,0,52.0,S,30,0,2,0,3,4,3
1,3,1,20,0,7.2292,C,16,0,1,1,0,1,3
0,3,1,21,0,8.05,S,24,0,1,1,1,1,3
0,3,0,18,0,18.0,S,34,0,3,0,2,0,4
1,3,0,14,0,11.2417,C,27,0,2,0,1,0,4
0,3,0,40,0,9.475,S,46,0,2,0,1,3,2
0,2,0,27,0,21.0,S,56,0,2,0,2,2,2
0,3,1,25,0,7.8958,C,19,0,1,1,0,1,3
1,2,0,3,2,41.5792,C,40,0,4,0,3,0,4
1,3,0,19,0,7.8792,Q,29,0,1,1,0,0,4
0,3,1,26,0,8.05,S,24,0,1,1,1,2,3
0,3,1,24,0,15.5,Q,17,0,2,0,2,1,3
1,3,0,18,0,7.75,Q,25,0,1,1,0,0,4
0,3,1,35,0,21.6792,C,19,0,3,0,2,3,3
0,3,0,18,0,17.8,S,45,0,2,0,2,0,2
0,3,1,7,1,39.6875,S,26,0,6,0,3,0,4
0,3,1,21,0,7.8,S,28,0,1,1,0,1,3
1,1,0,49,0,76.7292,C,40,1,2,0,3,4,2
1,2,0,29,0,26.0,S,50,0,2,0,2,2,2
0,1,1,65,1,61.9792,C,30,1,2,0,3,4,3
1,1,1,34,0,35.5,S,17,1,1,1,3,3,3
1,2,0,21,0,10.5,S,17,0,1,1,1,1,4
0,3,1,28,0,7.2292,C,19,0,1,1,0,2,3
1,2,0,5,2,27.75,S,28,0,4,0,2,0,4
0,3,1,11,2,46.9,S,34,0,8,0,3,0,4
0,3,1,22,0,7.2292,C,21,0,1,1,0,1,3
1,1,0,38,0,80.0,S,19,1,1,1,3,3,4
0,1,1,45,0,83.475,S,27,1,2,0,3,4,3
0,3,1,4,2,27.9,S,21,0,6,0,2,0,4
0,1,1,26,0,27.7208,C,21,0,1,1,2,2,3
1,3,1,41,1,15.2458,C,24,0,3,0,2,4,4
1,2,0,29,0,10.5,S,28,1,1,1,1,2,2
0,3,1,19,0,8.1583,S,24,0,1,1,1,0,3
1,3,0,17,2,7.925,S,31,0,7,0,1,0,4
0,3,1,26,0,8.6625,S,17,0,3,0,1,2,3
0,2,1,32,0,10.5,S,26,0,1,1,1,3,3
0,3,0,16,2,46.9,S,26,0,8,0,3,0,4
0,2,1,21,0,73.5,S,20,0,1,1,3,1,3
0,3,1,26,0,14.4542,C,27,0,2,0,1,2,3
1,3,1,32,0,56.4958,S,13,0,1,1,3,3,3
0,3,1,25,0,7.65,S,23,1,1,1,0,1,3
0,3,1,17,0,7.8958,S,17,0,1,1,0,0,3
0,3,1,42,0,8.05,S,24,0,1,1,1,4,3
1,2,1,0,2,29.0,S,29,0,3,0,2,0,4
1,3,0,30,0,12.475,S,24,0,1,1,1,2,4
0,3,1,22,0,9.0,S,20,0,1,1,1,1,3
1,3,1,29,0,9.5,S,27,0,1,1,1,2,3
1,3,0,24,0,7.7875,Q,30,0,1,1,0,1,4
0,1,1,28,0,47.1,S,23,0,1,1,3,2,3
1,2,0,17,0,10.5,S,19,0,1,1,1,0,4
1,3,0,33,0,15.85,S,55,0,4,0,2,3,2
0,3,1,16,3,34.375,S,22,0,5,0,3,0,3
0,3,1,40,0,8.05,S,29,0,1,1,1,3,3
1,1,0,23,2,263.0,S,26,1,6,0,3,1,4
0,3,1,24,0,8.05,S,22,0,1,1,1,1,3
0,3,1,29,0,8.05,S,20,0,1,1,1,2,3
0,3,1,20,0,7.8542,S,26,0,1,1,0,1,3
0,1,1,46,0,61.175,S,27,1,2,0,3,4,3
0,3,1,26,2,20.575,S,23,0,4,0,2,2,3
0,3,1,59,0,7.25,S,17,0,1,1,0,4,3
0,3,1,15,0,8.05,S,27,0,1,1,1,0,3
0,1,1,71,0,34.6542,C,25,1,1,1,3,4,3
1,1,1,23,1,63.3583,C,31,1,2,0,3,1,3
1,2,0,34,1,23.0,S,36,0,2,0,2,3,2
0,2,1,34,0,26.0,S,17,0,2,0,2,3,3
0,3,0,28,0,7.8958,S,23,0,1,1,0,2,4
0,3,1,35,0,7.8958,S,32,0,1,1,0,3,3
0,1,1,21,1,77.2875,S,25,1,2,0,3,1,3
0,3,1,33,0,8.6542,S,26,0,1,1,1,3,3
0,3,1,37,0,7.925,S,30,0,3,0,1,3,3
0,3,1,28,0,7.8958,S,21,0,1,1,0,2,3
1,3,0,21,0,7.65,S,32,0,1,1,0,1,4
1,3,1,29,0,7.775,S,22,0,1,1,0,2,3
0,3,1,38,0,7.8958,S,15,0,1,1,0,3,3
1,3,0,26,0,24.15,Q,19,0,2,0,2,2,4
0,1,1,47,0,52.0,S,30,1,1,1,3,4,3
0,3,0,14,0,14.4542,C,20,0,2,0,1,0,4
0,3,1,22,0,8.05,S,22,0,1,1,1,1,3
0,3,0,20,0,9.825,S,23,0,2,0,1,1,4
0,3,0,17,0,14.4583,C,21,0,1,1,2,0,4
0,3,1,21,0,7.925,S,21,0,1,1,1,1,3
0,3,1,70,0,7.75,Q,20,0,1,1,0,4,3
0,2,1,29,0,21.0,S,31,0,2,0,2,2,3
0,1,1,24,1,247.5208,C,24,1,2,0,3,1,3
0,3,0,2,2,31.275,S,33,0,7,0,3,0,4
0,2,1,21,0,73.5,S,27,0,3,0,3,1,3
0,3,1,43,0,8.05,S,26,0,1,1,1,4,3
0,2,1,32,0,30.0708,C,20,0,2,0,2,3,3
1,2,0,32,0,13.0,S,19,1,1,1,1,3,4
0,1,1,54,1,77.2875,S,27,1,2,0,3,4,3
1,3,1,12,0,11.2417,C,28,0,2,0,1,0,4
0,3,1,17,0,7.75,Q,19,0,1,1,0,0,3
1,3,1,24,0,7.1417,S,25,0,1,1,0,1,3
1,3,0,21,1,22.3583,C,17,1,3,0,2,1,4
0,3,1,45,0,6.975,S,18,0,1,1,0,4,3
0,3,1,33,0,7.8958,C,20,0,1,1,0,3,3
0,3,1,20,0,7.05,S,30,0,1,1,0,1,3
0,3,0,47,0,14.5,S,46,0,2,0,2,4,2
1,2,0,29,0,26.0,S,45,0,2,0,2,2,2
0,2,1,25,0,13.0,S,30,0,1,1,1,1,3
0,2,1,23,0,15.0458,C,18,0,1,1,2,1,3
1,1,0,19,2,26.2833,S,28,1,3,0,2,0,4
0,1,1,37,0,53.1,S,27,1,2,0,3,3,3
0,3,1,16,0,9.2167,S,19,0,1,1,1,0,3
0,1,1,24,0,79.2,C,18,1,1,1,3,1,3
0,3,0,28,2,15.2458,C,29,0,3,0,2,2,2
1,3,0,22,0,7.75,S,24,0,1,1,0,1,4
1,3,0,24,0,15.85,S,52,0,2,0,2,1,2
0,3,1,19,0,6.75,Q,19,0,1,1,0,0,3
0,2,1,18,0,11.5,S,26,0,1,1,1,0,3
0,2,1,19,1,36.75,S,28,0,3,0,3,0,3
1,3,1,27,0,7.7958,S,44,0,1,1,0,2,3
0,3,0,9,2,34.375,S,32,0,5,0,3,0,4
0,2,1,36,2,26.0,S,40,1,3,0,2,3,3
0,2,1,42,0,13.0,S,33,0,1,1,1,4,4
0,2,1,51,0,12.525,S,26,0,1,1,1,4,4
1,1,0,22,0,66.6,S,33,1,2,0,3,1,2
0,3,1,55,0,8.05,S,16,0,1,1,1,4,3
0,3,1,40,2,14.5,S,31,0,3,0,2,3,3
0,3,1,42,0,7.3125,S,21,0,1,1,0,4,3
0,1,1,51,1,61.3792,C,27,0,2,0,3,4,3
1,3,0,16,0,7.7333,Q,32,0,1,1,0,0,4
0,3,1,30,0,8.05,S,15,0,1,1,1,2,3
0,3,1,26,0,8.6625,S,19,0,1,1,1,2,3
0,3,1,16,2,69.55,S,26,0,11,0,3,0,4
0,3,1,44,1,16.1,S,24,0,2,0,2,4,3
1,2,0,40,0,15.75,S,50,0,1,1,2,3,2
0,3,1,26,0,7.775,S,26,0,1,1,0,2,3
0,3,1,17,0,8.6625,S,15,0,1,1,1,0,3
0,3,1,1,1,39.6875,S,28,0,6,0,3,0,4
1,3,1,9,2,20.525,S,47,0,3,0,2,0,4
1,1,0,17,1,55.0,S,38,1,2,0,3,0,2
0,3,0,45,4,27.9,S,47,0,6,0,2,4,2
0,1,1,25,0,25.925,S,19,0,1,1,2,1,3
0,3,1,28,0,56.4958,S,13,0,1,1,3,2,3
0,1,1,61,0,33.5,S,25,1,1,1,3,4,3
0,3,1,4,1,29.125,Q,20,0,6,0,2,0,4
1,3,0,1,1,11.1333,S,28,0,3,0,1,0,4
0,3,1,21,0,7.925,S,25,0,1,1,1,1,3
0,1,1,56,0,30.6958,C,23,1,1,1,2,4,3
0,3,1,18,1,7.8542,S,22,0,3,0,0,0,3
0,3,1,26,1,25.4667,S,29,0,5,0,2,2,4
0,1,0,50,0,28.7125,C,26,1,1,1,2,4,4
0,2,1,30,0,13.0,S,18,0,1,1,1,2,3
0,3,1,36,0,0.0,S,19,0,1,1,0,3,3
0,3,0,18,2,69.55,S,28,0,11,0,3,0,4
0,2,1,41,0,15.05,C,16,0,1,1,2,4,3
0,3,1,9,2,31.3875,S,37,0,7,0,3,0,4
1,2,1,1,1,39.0,S,25,1,4,0,3,0,4
1,3,0,4,2,22.025,S,35,0,3,0,2,0,4
0,1,1,19,0,50.0,S,21,1,1,1,3,0,3
1,3,0,19,0,15.5,Q,47,0,2,0,2,0,2
1,1,1,45,0,26.55,S,45,0,1,1,2,4,3
0,3,1,40,1,15.5,Q,16,0,3,0,2,3,3
0,3,1,36,0,7.8958,S,19,0,1,1,0,3,3
1,2,0,32,0,13.0,S,19,0,1,1,1,3,2
0,2,1,19,0,13.0,S,21,0,1,1,1,0,3
1,3,0,19,0,7.8542,S,47,0,2,0,0,0,4
1,2,1,3,1,26.0,S,26,1,3,0,2,0,4
1,1,0,44,0,27.7208,C,41,1,1,1,2,4,2
1,1,0,58,0,146.5208,C,20,1,1,1,3,4,4
0,3,1,25,0,7.75,Q,19,0,1,1,0,1,3
0,3,1,42,1,8.4042,S,32,0,2,0,1,4,3
1,3,0,17,0,7.75,Q,32,0,1,1,0,0,4
0,2,0,24,0,13.0,S,38,0,1,1,1,1,4
0,3,1,28,0,9.5,S,30,0,1,1,1,2,3
0,3,1,17,2,69.55,S,19,0,11,0,3,0,3
0,3,1,34,0,6.4958,S,26,0,1,1,0,3,3
0,3,1,45,0,7.225,C,20,0,1,1,0,4,3
1,3,1,18,0,8.05,S,24,0,1,1,1,0,3
0,3,0,2,1,10.4625,S,26,1,2,0,1,0,4
0,3,1,32,0,15.85,S,26,0,2,0,2,3,3
1,3,1,26,0,18.7875,C,27,0,1,1,2,2,3
1,3,0,16,0,7.75,Q,25,0,1,1,0,0,4
1,1,1,40,0,31.0,C,16,1,1,1,2,3,3
0,3,1,24,0,7.05,S,14,0,1,1,0,1,3
1,2,0,35,0,21.0,S,26,0,1,1,2,3,4
0,3,1,22,0,7.25,S,22,0,1,1,0,1,3
0,2,1,30,0,13.0,S,27,0,1,1,1,2,3
0,3,1,34,0,7.75,Q,19,0,2,0,0,3,3
1,1,0,31,0,113.275,C,23,1,2,0,3,2,4
1,3,0,27,0,7.925,S,22,0,1,1,1,2,4
0,2,1,42,0,27.0,S,28,0,2,0,2,4,3
1,1,0,32,0,76.2917,C,21,1,1,1,3,3,4
0,2,1,30,0,10.5,S,18,0,1,1,1,2,3
1,3,1,16,0,8.05,S,30,0,1,1,1,0,3
0,2,1,27,0,13.0,S,20,0,1,1,1,2,3
0,3,1,51,0,8.05,S,23,0,1,1,1,4,3
0,3,1,22,0,7.8958,S,20,0,1,1,0,1,3
1,1,1,38,0,90.0,S,28,1,2,0,3,3,3
0,3,1,22,0,9.35,S,28,0,1,1,1,1,3
1,2,1,19,0,10.5,S,25,0,1,1,1,0,3
0,3,1,20,0,7.25,S,31,0,1,1,0,1,3
0,2,1,18,0,13.0,S,25,0,1,1,1,0,3
0,3,0,28,1,25.4667,S,23,0,5,0,2,2,4
1,1,0,35,0,83.475,S,44,1,2,0,3,3,2
0,3,1,29,0,7.775,S,24,0,1,1,0,2,3
0,2,1,59,0,13.5,S,25,0,1,1,1,4,3
1,3,0,5,2,31.3875,S,30,0,7,0,3,0,4
0,2,1,24,0,10.5,S,33,0,1,1,1,1,3
0,3,0,23,0,7.55,S,28,0,1,1,0,1,4
0,2,1,44,0,26.0,S,17,0,2,0,2,4,3
1,2,0,8,2,26.25,S,32,0,3,0,2,0,4
0,2,1,19,0,10.5,S,31,0,1,1,1,0,3
0,2,1,33,0,12.275,S,22,0,1,1,1,3,3
0,3,0,21,0,14.4542,C,21,0,2,0,1,1,4
1,3,0,25,0,15.5,Q,30,0,2,0,2,1,4
0,2,1,29,0,10.5,S,31,0,1,1,1,2,3
0,3,1,22,0,7.125,S,29,0,1,1,0,1,3
0,3,1,30,0,7.225,C,20,0,1,1,0,2,3
0,1,1,44,0,90.0,Q,27,1,3,0,3,4,4
0,3,0,25,0,7.775,S,37,0,1,1,0,1,4
1,2,0,24,2,14.5,S,31,0,3,0,2,1,2
1,1,1,37,1,52.5542,S,29,1,3,0,3,3,3
0,2,1,54,0,26.0,S,29,0,2,0,2,4,4
0,3,1,15,0,7.25,S,22,0,1,1,0,0,3
0,3,0,29,1,10.4625,S,42,1,3,0,1,2,2
0,1,1,62,0,26.55,S,25,1,1,1,2,4,3
0,3,1,30,0,16.1,S,24,0,2,0,2,2,3
0,3,0,41,2,20.2125,S,40,0,3,0,2,4,2
1,3,0,29,2,15.2458,C,39,0,3,0,2,2,2
1,1,0,41,0,79.2,C,30,0,1,1,3,4,2
1,1,0,30,0,86.5,S,20,1,1,1,3,2,4
1,1,0,35,0,512.3292,C,16,0,1,1,3,3,4
1,2,0,50,1,26.0,S,27,0,2,0,2,4,2
0,3,1,19,0,7.75,Q,17,0,1,1,0,0,3
1,3,1,3,2,31.3875,S,33,0,7,0,3,0,4
0,1,1,52,1,79.65,S,17,1,3,0,3,4,3
0,1,1,40,0,0.0,S,21,1,1,1,0,3,3
0,3,0,37,0,7.75,Q,18,0,1,1,0,3,4
0,2,1,36,0,10.5,S,17,0,1,1,1,3,3
0,3,1,16,1,39.6875,S,25,0,6,0,3,0,3
1,3,1,25,0,7.775,S,24,0,2,0,0,1,3
1,1,0,58,1,153.4625,S,45,1,2,0,3,4,2
1,1,0,35,0,135.6333,S,22,1,1,1,3,3,4
0,1,1,18,0,31.0,S,21,0,1,1,2,0,3
1,3,1,25,0,0.0,S,28,0,1,1,0,1,3
1,2,0,41,1,19.5,S,41,0,2,0,2,4,2
0,1,1,37,1,29.7,C,21,1,2,0,2,3,3
1,3,0,31,0,7.75,Q,26,0,1,1,0,2,4
1,1,0,63,0,77.9583,S,33,1,2,0,3,4,4
0,3,0,45,0,7.75,S,33,0,1,1,0,4,4
0,2,1,41,0,0.0,S,27,0,1,1,0,4,3
0,3,1,7,1,29.125,Q,18,0,6,0,2,0,4
1,3,0,35,1,20.25,S,32,0,3,0,2,3,2
0,3,1,65,0,7.75,Q,16,0,1,1,0,4,3
0,3,1,28,0,7.8542,S,32,0,1,1,0,2,3
0,3,1,16,0,9.5,S,25,0,1,1,1,0,3
1,3,1,19,0,8.05,S,26,0,1,1,1,0,3
0,1,1,27,0,26.0,S,26,1,1,1,2,2,3
0,3,1,33,0,8.6625,C,19,0,1,1,1,3,3
1,3,1,30,0,9.5,S,23,0,1,1,1,2,3
0,3,1,22,0,7.8958,S,20,0,1,1,0,1,3
1,2,1,42,0,13.0,S,20,0,1,1,1,4,3
1,3,0,22,0,7.75,Q,20,0,1,1,0,1,4
1,1,0,26,0,78.85,S,28,0,1,1,3,2,4
1,1,0,19,0,91.0792,C,39,1,2,0,3,0,2
0,2,1,36,0,12.875,C,22,1,1,1,1,3,3
0,3,0,24,0,8.85,S,19,0,1,1,1,1,4
